'Configuration Parameter:;"Decimal separator: , List separator: ; ";Layout Version V6.2;WinCC Version K7.0.3.5
'Var Version V1.0;
'Varname;Conn;Group;Spec;Flag;CTyp;CLen;CPro;CFor;P1;P2;P3;P4;P5;P6;L1;L2;L3;L4;L5;L6;L7;L8;LF1;LF2;LF3;LF4;SCF;SPU;SPO;SVU;SVO;Creator-ID
ZRU6_ZRU6_EvalPar_Cell2_PM130_Sb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400345";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Sc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400347";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_f;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400349";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_cosa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400351";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_cosb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400353";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_cosc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400355";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Phase_Shift_Ua;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400357";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Phase_Shift_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400359";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Phase_Shift_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400361";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Mean_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400363";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Mean_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400365";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Mean_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400367";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_P;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400369";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Q;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400371";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_S;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400373";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400377";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400379";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400381";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Ua;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400383";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400385";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400387";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
